user_id,song_id,timestamp,duration_sec
u001,s0032,2025-03-01 03:42:00,263
u001,s0119,2025-03-01 04:21:00,371
u001,s0144,2025-03-01 06:41:00,334
u001,s0194,2025-03-01 08:07:00,256
u001,s0185,2025-03-01 10:48:00,288
u001,s0141,2025-03-01 12:42:00,258
u001,s0041,2025-03-01 16:36:00,410
u001,s0122,2025-03-01 20:21:00,260
u001,s0193,2025-03-01 21:32:00,156
u001,s0164,2025-03-02 01:12:00,171
u001,s0200,2025-03-02 04:33:00,296
u001,s0161,2025-03-02 06:42:00,152
u001,s0113,2025-03-02 07:57:00,69
u001,s0074,2025-03-02 11:04:00,150
u001,s0086,2025-03-02 12:18:00,193
u001,s0139,2025-03-02 16:11:00,71
u001,s0039,2025-03-02 16:51:00,148
u001,s0178,2025-03-02 18:34:00,108
u001,s0055,2025-03-02 21:39:00,62
u001,s0105,2025-03-02 23:30:00,199
u001,s0120,2025-03-03 01:53:00,242
u001,s0053,2025-03-03 02:13:00,245
u001,s0198,2025-03-03 03:57:00,329
u001,s0006,2025-03-03 07:00:00,324
u001,s0123,2025-03-03 08:42:00,33
u001,s0077,2025-03-03 10:17:00,415
u001,s0108,2025-03-03 12:01:00,305
u001,s0189,2025-03-03 15:17:00,309
u001,s0155,2025-03-03 18:46:00,142
u001,s0057,2025-03-03 20:55:00,169
u001,s0125,2025-03-03 22:51:00,44
u001,s0087,2025-03-04 00:35:00,372
u001,s0104,2025-03-04 03:33:00,400
u001,s0120,2025-03-04 04:20:00,95
u001,s0137,2025-03-04 07:04:00,43
u001,s0101,2025-03-04 11:01:00,333
u001,s0170,2025-03-04 13:30:00,43
u001,s0165,2025-03-04 13:56:00,249
u001,s0119,2025-03-04 14:35:00,123
u001,s0067,2025-03-04 14:52:00,224
u001,s0055,2025-03-04 16:20:00,262
u001,s0087,2025-03-04 17:48:00,419
u001,s0098,2025-03-04 21:38:00,172
u001,s0108,2025-03-05 00:55:00,159
u001,s0021,2025-03-05 04:33:00,270
u001,s0192,2025-03-05 04:42:00,306
u001,s0090,2025-03-05 05:00:00,144
u001,s0018,2025-03-05 07:51:00,363
u001,s0194,2025-03-05 08:06:00,45
u001,s0052,2025-03-05 09:14:00,40
u001,s0040,2025-03-05 11:58:00,152
u001,s0122,2025-03-05 12:35:00,372
u001,s0145,2025-03-05 13:09:00,141
u001,s0180,2025-03-05 15:13:00,161
u001,s0095,2025-03-05 18:34:00,115
u001,s0156,2025-03-05 21:14:00,412
u001,s0030,2025-03-06 00:22:00,113
u001,s0028,2025-03-06 01:46:00,326
u001,s0080,2025-03-06 01:57:00,324
u001,s0097,2025-03-06 04:55:00,233
u001,s0051,2025-03-06 08:03:00,68
u001,s0177,2025-03-06 10:39:00,351
u001,s0027,2025-03-06 11:46:00,386
u001,s0078,2025-03-06 15:08:00,380
u001,s0031,2025-03-06 17:46:00,319
u001,s0011,2025-03-06 21:11:00,207
u001,s0110,2025-03-06 23:32:00,368
u001,s0018,2025-03-07 01:11:00,289
u001,s0088,2025-03-07 04:01:00,36
u001,s0108,2025-03-07 07:43:00,280
u001,s0111,2025-03-07 08:15:00,215
u001,s0118,2025-03-07 11:02:00,392
u001,s0112,2025-03-07 11:46:00,120
u001,s0134,2025-03-07 14:58:00,363
u001,s0158,2025-03-07 16:12:00,305
u001,s0124,2025-03-07 19:35:00,268
u001,s0188,2025-03-07 21:31:00,333
u001,s0083,2025-03-07 22:44:00,155
u001,s0023,2025-03-08 02:21:00,172
u001,s0116,2025-03-08 06:11:00,154
u001,s0119,2025-03-08 09:28:00,321
u001,s0172,2025-03-08 12:09:00,224
u001,s0008,2025-03-08 13:40:00,283
u001,s0084,2025-03-08 17:22:00,123
u001,s0055,2025-03-08 19:31:00,211
u001,s0067,2025-03-08 23:00:00,204
u001,s0153,2025-03-09 00:16:00,389
u001,s0071,2025-03-09 04:06:00,314
u001,s0133,2025-03-09 04:13:00,127
u001,s0062,2025-03-09 04:39:00,398
u001,s0126,2025-03-09 06:28:00,314
u001,s0062,2025-03-09 09:47:00,383
u001,s0166,2025-03-09 11:53:00,394
u001,s0115,2025-03-09 14:03:00,38
u001,s0076,2025-03-09 14:31:00,143
u001,s0178,2025-03-09 16:19:00,154
u001,s0170,2025-03-09 17:42:00,327
u001,s0122,2025-03-09 19:21:00,313
u001,s0089,2025-03-09 21:41:00,247
u001,s0141,2025-03-10 00:56:00,199
u001,s0180,2025-03-10 02:31:00,262
